Geo_GEOID,Geo_NAME,MHI_2010,MHI_2011,MHI_2012,MHI_2013,MHI_2014,MHI_2015,MHI_2016,MHI_2017,MHI_2018,MHI_2019,MHI_2020
04000US01,Alabama,42081,42934,43160,43253,43511,43623,44758,46472,48486,50536,52035
04000US02,Alaska,66521,69014,69917,70760,71829,72515,74444,76114,76715,77640,77790
04000US04,Arizona,50448,50752,50256,49774,49928,50255,51340,53510,56213,58945,61529
04000US05,Arkansas,39267,40149,40531,40768,41264,41371,42336,43813,45726,47597,49475
04000US06,California,60883,61632,61400,61094,61489,61818,63783,67169,71228,75235,78672
04000US08,Colorado,56456,57685,58244,58433,59448,60629,62520,65458,68811,72331,75231
04000US09,Connecticut,67740,69243,69519,69461,69899,70331,71755,73781,76106,78444,79855
04000US10,Delaware,57599,59317,60119,59878,60231,60509,61017,63036,65627,68287,69110
04000US11,District of Columbia,58526,61835,64267,65830,69235,70848,72935,77649,82604,86420,90842
04000US12,Florida,47661,47827,47309,46956,47212,47507,48900,50883,53267,55660,57703
04000US13,Georgia,49347,49736,49604,49179,49342,49620,51037,52977,55679,58700,61224
04000US15,Hawaii,66420,67116,67492,67402,68201,69515,71977,74923,78084,81275,83173
04000US16,Idaho,46423,46890,47015,46767,47334,47583,49174,50985,53089,55785,58915
04000US17,Illinois,55735,56576,56853,56797,57166,57574,59196,61229,63575,65886,68428
04000US18,Indiana,47697,48393,48374,48248,48737,49255,50433,52182,54325,56303,58235
04000US19,Iowa,48872,50451,51129,51843,52716,53183,54570,56570,58580,60523,61836
04000US20,Kansas,49424,50594,51273,51332,51872,52205,53571,55477,57422,59597,61091
04000US21,Kentucky,41576,42248,42610,43036,43342,43740,44811,46535,48392,50589,52238
04000US22,Louisiana,43445,44086,44673,44874,44991,45047,45652,46710,47942,49469,50800
04000US23,Maine,46933,47898,48219,48453,48804,49331,50826,53024,55425,57918,59489
04000US24,Maryland,70647,72419,72999,73538,74149,74551,76067,78916,81868,84805,87063
04000US25,Massachusetts,64509,65981,66658,66866,67846,68563,70954,74167,77378,81215,84385
04000US26,Michigan,48432,48669,48471,48411,49087,49576,50803,52668,54938,57144,59234
04000US27,Minnesota,57243,58476,59126,59836,60828,61492,63217,65699,68411,71306,73382
04000US28,Mississippi,37881,38718,38882,39031,39464,39665,40528,42009,43567,45081,46511
04000US29,Missouri,46262,47202,47333,47380,47764,48173,49593,51542,53560,55461,57290
04000US30,Montana,43872,45324,45456,46230,46766,47169,48380,50801,52559,54970,56539
04000US31,Nebraska,49342,50695,51381,51672,52400,52997,54384,56675,59116,61439,63015
04000US32,Nevada,55726,55553,54083,52800,52205,51847,53094,55434,57598,60365,62043
04000US33,New Hampshire,63277,64664,64925,64916,65986,66779,68485,71305,74057,76768,77923
04000US34,New Jersey,69811,71180,71637,71629,72062,72093,73702,76475,79363,82545,85245
04000US35,New Mexico,43820,44631,44886,44927,44968,44963,45674,46718,48059,49754,51243
04000US36,New York,55603,56951,57683,58003,58687,59269,60741,62765,65323,68486,71117
04000US37,North Carolina,45570,46291,46450,46334,46693,46868,48256,50320,52413,54602,56642
04000US38,North Dakota,46781,49415,51641,53741,55579,57181,59114,61285,63473,64894,65315
04000US39,Ohio,47358,48071,48246,48308,48849,49429,50674,52407,54533,56602,58116
04000US40,Oklahoma,42979,44287,44891,45339,46235,46879,48038,49767,51424,52919,53840
04000US41,Oregon,49260,49850,50036,50229,50521,51243,53270,56119,59393,62818,65667
04000US42,Pennsylvania,50398,51651,52267,52548,53115,53599,54895,56951,59445,61744,63627
04000US44,Rhode Island,54902,55975,56102,56361,56423,56852,58387,61043,63296,67167,70305
04000US45,South Carolina,43939,44587,44623,44779,45033,45483,46898,48781,51015,53199,54864
04000US46,South Dakota,46369,48010,49091,49495,50338,50957,52078,54126,56499,58275,59896
04000US47,Tennessee,43314,43989,44140,44298,44621,45219,46574,48708,50972,53320,54833
04000US48,Texas,49646,50920,51563,51900,52576,53207,54727,57051,59570,61874,63826
04000US49,Utah,56330,57783,58164,58821,59846,60727,62518,65325,68374,71621,74197
04000US50,Vermont,51841,53422,54168,54267,54447,55176,56104,57808,60076,61973,63477
04000US51,Virginia,61406,63302,63636,63907,64792,65015,66149,68766,71564,74222,76398
04000US53,Washington,57244,58890,59374,59478,60294,61062,62848,66174,70116,73775,77006
04000US54,West Virginia,38380,39550,40400,41043,41576,41751,42644,44061,44921,46711,48037
04000US55,Wisconsin,51598,52374,52627,52413,52738,53357,54610,56759,59209,61747,63293
04000US56,Wyoming,53802,56380,56573,57406,58252,58840,59143,60938,62268,64049,65304
04000US72,Puerto Rico,18791,19122,19515,19624,19686,19350,19606,19775,20166,20539,21058
